ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,chirps,chirps_lower,chirps_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,holidays,holidays_lower,holidays_upper,landsat,landsat_lower,landsat_upper,yearly,yearly_lower,yearly_upper,こどもの日,こどもの日_lower,こどもの日_upper,みどりの日,みどりの日_lower,みどりの日_upper,体育の日,体育の日_lower,体育の日_upper,元日,元日_lower,元日_upper,勤労感謝の日,勤労感謝の日_lower,勤労感謝の日_upper,即位礼正殿の儀が行われる日,即位礼正殿の儀が行われる日_lower,即位礼正殿の儀が行われる日_upper,国民の休日,国民の休日_lower,国民の休日_upper,天皇の即位の日,天皇の即位の日_lower,天皇の即位の日_upper,山の日,山の日_lower,山の日_upper,建国記念の日,建国記念の日_lower,建国記念の日_upper,憲法記念日,憲法記念日_lower,憲法記念日_upper,成人の日,成人の日_lower,成人の日_upper,振替休日,振替休日_lower,振替休日_upper,敬老の日,敬老の日_lower,敬老の日_upper,文化の日,文化の日_lower,文化の日_upper,春分の日,春分の日_lower,春分の日_upper,昭和の日,昭和の日_lower,昭和の日_upper,海の日,海の日_lower,海の日_upper,秋分の日,秋分の日_lower,秋分の日_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
06/30/2020,2186.255577,2516.638259,3910.417092,2186.255577,2186.255578,1024.73905,1024.73905,1024.73905,136.2176656,136.2176656,136.2176656,262.18985,262.18985,262.18985,0,0,0,125.9721844,125.9721844,125.9721844,762.5491999,762.5491999,762.5491999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3210.994627
07/31/2020,2189.900932,1992.437923,3302.100719,2189.90093,2189.900933,474.4856111,474.4856111,474.4856111,136.2176656,136.2176656,136.2176656,262.18985,262.18985,262.18985,0,0,0,125.9721844,125.9721844,125.9721844,212.2957611,212.2957611,212.2957611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2664.386543
08/31/2020,2193.546287,2707.513796,4043.3342,2193.546284,2193.546289,1163.052121,1163.052121,1163.052121,136.2176656,136.2176656,136.2176656,262.18985,262.18985,262.18985,0,0,0,125.9721844,125.9721844,125.9721844,900.8622709,900.8622709,900.8622709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3356.598408
09/30/2020,2197.074049,1624.850334,3018.464444,2197.074045,2197.074053,133.6622085,133.6622085,133.6622085,136.2176656,136.2176656,136.2176656,262.18985,262.18985,262.18985,0,0,0,125.9721844,125.9721844,125.9721844,-128.5276415,-128.5276415,-128.5276415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2330.736258
10/31/2020,2200.719404,2719.606481,4053.262687,2200.719398,2200.71941,1201.427206,1201.427206,1201.427206,136.2176656,136.2176656,136.2176656,262.18985,262.18985,262.18985,0,0,0,125.9721844,125.9721844,125.9721844,939.2373556,939.2373556,939.2373556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3402.14661
11/30/2020,2204.247167,1865.896871,3165.171331,2204.247159,2204.247174,294.8784713,294.8784713,294.8784713,136.2176656,136.2176656,136.2176656,262.18985,262.18985,262.18985,0,0,0,125.9721844,125.9721844,125.9721844,32.68862128,32.68862128,32.68862128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2499.125638
12/31/2020,2207.892522,1561.450335,2871.958234,2207.892512,2207.89253,-9.695544751,-9.695544751,-9.695544751,136.2176656,136.2176656,136.2176656,262.18985,262.18985,262.18985,0,0,0,125.9721844,125.9721844,125.9721844,-271.8853948,-271.8853948,-271.8853948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2198.196977
01/31/2021,2211.537877,1449.828596,2795.919289,2211.537865,2211.537887,-106.6485221,-106.6485221,-106.6485221,136.2176656,136.2176656,136.2176656,262.18985,262.18985,262.18985,0,0,0,125.9721844,125.9721844,125.9721844,-368.8383722,-368.8383722,-368.8383722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2104.889354
02/28/2021,2214.830455,1070.512436,2399.257761,2214.830441,2214.830467,-508.373166,-508.373166,-508.373166,136.2176656,136.2176656,136.2176656,262.18985,262.18985,262.18985,0,0,0,125.9721844,125.9721844,125.9721844,-770.563016,-770.563016,-770.563016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1706.457289
03/31/2021,2218.47581,1449.472516,2797.479506,2218.475794,2218.475824,-73.46397321,-73.46397321,-73.46397321,136.2176656,136.2176656,136.2176656,262.18985,262.18985,262.18985,0,0,0,125.9721844,125.9721844,125.9721844,-335.6538233,-335.6538233,-335.6538233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2145.011837
04/30/2021,2222.003573,1809.249956,3150.406765,2222.003555,2222.003589,267.2323424,267.2323424,267.2323424,136.2176656,136.2176656,136.2176656,262.18985,262.18985,262.18985,0,0,0,125.9721844,125.9721844,125.9721844,5.042492361,5.042492361,5.042492361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2489.235915
05/31/2021,2225.648927,2560.239097,3839.665072,2225.648907,2225.648946,991.7312991,991.7312991,991.7312991,136.2176656,136.2176656,136.2176656,262.18985,262.18985,262.18985,0,0,0,125.9721844,125.9721844,125.9721844,729.541449,729.541449,729.541449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3217.380226
